14,96
15,3
15,98
17,34
18,7
20,74
22,695
24,905
27,965
31,025
34
36,975
40,035
58,31
173,655
168,64
164,73
163,37
159,97
158,78
157,08
155,72
155,04
153,68
152,66
151,98
150,96
149,005
147,985
145,69
143,99
142,97
15,3
15,98
16,66
17,34
19,38
21,08
23,375
25,245
28,305
32,045
35,02
40,97
59,67
177,395
169,575
166,345
163,37
162,01
159,715
158,44
158,1
156,06
155,04
154,36
153
151,98
150,96
149,345
147,985
146,285
145,01
142,97
15,98
16,32
17
18,36
19,72
22,1
24,225
26,605
30,005
33,32
36,38
53,72
180,03
172,295
168,3
165,665
163,71
160,65
159,035
158,1
156,06
155,72
155,04
154,7
153,68
153
151,3
150,28
148,665
147,985
145,35
144,67
16,32
17
18,02
19,38
21,08
23,035
25,585
28,305
31,365
35,02
51,34
222,02
173,655
170,255
167,365
164,985
162,265
160,055
158,695
158,1
157,76
157,08
156,4
155,04
154,02
153,34
151,98
150,96
150,025
148,665
147,305
145,35
17,34
18,02
19,04
20,4
22,355
23,97
26,605
30,005
33,405
49,64
54,655
176,97
171,955
168,98
167,365
163,625
161,245
160,31
159,29
158,355
157,76
157,42
157,08
155,38
154,7
154,02
153
151,64
150,96
150,025
147,985
147,305
18,36
19,04
20,06
21,76
23,29
25,925
28,645
32,045
35,7
42,245
181,305
170,34
170,595
167,96
165,325
162,265
161,245
160,65
159,63
159,29
158,695
157,76
157,42
157,08
155,38
154,7
154,02
152,66
151,64
150,96
150,025
148,325
19,04
20,4
21,42
22,95
24,99
27,965
31,025
34,425
40,97
50,405
176,63
172,975
170,935
168,64
164,985
162,945
161,925
160,65
159,97
159,29
159,29
158,1
158,1
157,76
157,08
155,72
155,04
154,36
153,34
151,64
150,96
149,6
21,08
21,675
22,95
24,31
26,945
30,005
32,725
37,315
51
202,64
177,99
176,375
170,255
167,96
168,64
164,305
162,945
161,245
160,65
160,65
159,97
159,035
158,695
158,44
158,1
158,1
156,74
155,38
154,7
154,02
152,32
151,3
21,93
22,95
23,97
25,67
28,645
31,705
35,955
117,64
57,63
184,28
180,37
179,69
169,32
171,615
170,255
166,345
164,645
161,925
161,925
161,245
160,905
160,65
160,65
159,715
159,035
158,44
158,44
157,76
156,06
155,38
153,68
153
23,29
24,31
25,33
27,625
30,685
33,745
38,25
88,91
194,31
188,36
187,34
187,68
173,995
168,385
170,255
168,385
167,025
164,645
163,965
162,605
162,265
161,925
161,585
161,585
160,65
159,97
159,63
159,12
157,76
157,08
156,4
154,36
24,99
25,67
27,37
29,665
32,385
35,955
40,63
61,03
190,4
192,27
195,67
189,38
177,99
168,98
172,295
170
170,255
167,365
164,645
164,645
163,965
164,305
163,625
163,285
162,945
162,945
161,67
160,99
159,97
158,695
158,1
157,42
26,01
27,71
59,33
31,365
34,34
38,335
43,35
73,695
190,4
191,675
196,01
189,72
176,63
172,975
171,275
172,975
171,275
167,365
166,005
166,005
166,005
165,325
165,325
165,325
164,985
164,985
164,05
163,71
162,69
162,01
160,31
159,63
27,03
28,05
30,005
32,64
36,295
41,31
107,015
82,025
189,04
188,36
191,08
189,38
197,71
176,63
175,355
174,335
171,615
168,98
168,3
168,3
166,685
166,685
166,685
167,62
167,62
167,28
167,28
166,005
165,41
165,07
163,03
162,35
28,39
29,41
31,365
34,255
38,335
42,67
76,585
213,945
192,95
190,4
190,4
186,66
185,98
184,96
181,05
175,015
171,955
169,66
170,34
169,32
167,96
168,3
167,96
168,98
169,32
169,66
169,405
169,405
168,385
167,705
166,685
164,985
29,41
30,685
32,98
36,295
40,035
45,305
58,395
215,985
202,98
197,965
183,26
194,65
183,685
176,29
180,03
175,61
173,655
172,975
172,295
171,02
170,34
170,935
171,275
176,29
174,59
177,31
181,39
183,345
172,295
170,765
170,085
168,725
30,43
31,96
33,915
37,995
41,735
47,345
58,735
211,735
216,665
206,295
177,99
198,985
186,32
177,65
180,37
178,33
175,95
175,95
174,675
182,665
177,65
193,63
200,005
202,98
205,7
204
201,62
218,025
204,34
187
193,97
207,995
31,62
32,98
35,615
38,675
43,69
48,96
74,97
214,625
225,93
222,7
199,325
183,6
180,71
181,39
180,03
181,05
179,69
182,58
193,63
213,69
219,3
222,02
233,75
235,62
230,69
222,36
229,33
233,665
235,62
232,645
234,005
235,28
32,3
33,915
36,975
40,375
44,965
50,32
59,67
220,405
230,35
230,265
213,775
187,34
182,665
180,03
181,39
182,58
190,06
212,415
230,35
235,025
235,96
236,3
238,935
239,275
239,275
237,66
238
238,34
236,98
236,64
236,64
235,28
33,235
39,015
37,655
41,055
45,985
52,02
96,39
223,04
231,285
232,305
213,095
187,68
191,675
187,34
183,005
185,98
225,93
235,96
240,295
239,275
240,635
239,275
239,275
239,275
239,275
239,275
239,275
238,34
236,64
235,28
236,3
235,025
34,255
35,615
38,335
41,65
46,58
52,7
60,265
76,67
231,965
229,925
202,725
190,315
205,955
218,025
213,775
223,635
235,025
239,275
240,635
240,635
240,635
240,295
240,295
239,615
239,275
239,275
239,275
239,275
235,96
235,96
236,3
235,025
34,595
37,995
39,015
45,985
47,26
53,295
60,35
72,335
231,03
227,63
190,995
205,615
217,685
231,965
234,345
237,66
239,275
240,635
240,635
240,635
240,635
239,275
239,275
239,275
239,275
238,34
239,275
239,275
236,98
236,98
235,62
231,625
36,295
37,315
39,015
42,67
47,685
53,635
61,03
101,66
230,69
223,38
209,695
224,315
229,67
235,96
238
239,275
239,275
238,34
239,275
240,635
239,275
239,275
238,34
